split,n,accuracy,baseline,balanced_acc,macro_f1,min_class_recall,qwk,auc_ovr,shuffle
shuffle0,11167,0.631861735470583,0.4872391868899436,0.6322759086604907,0.5807131444740302,0.5473887814313346,0.5123379461733442,0.8120892955714126,0
shuffle1,11167,0.6401002955135667,0.48679143906152056,0.6345042396547552,0.585255991563043,0.5507060333761232,0.5162669306746026,0.8157297772090404,1
shuffle2,11167,0.6372347094116594,0.487149637324259,0.6344497470101196,0.5839010662279649,0.54375,0.5111676256373764,0.8129284001583702,2
shuffle3,11167,0.6328467806931136,0.4876869347183666,0.6309192574211134,0.5789602462574209,0.5356989247311827,0.5039300865294765,0.8123472839573967,3
shuffle4,11167,0.6403689442106206,0.48544819557625146,0.6315254392713998,0.586105049451871,0.555245655438747,0.5156791775913876,0.8159407018901274,4
shuffle5,11167,0.6379511059371362,0.4874182860213128,0.6326227109142487,0.5842350878652249,0.5407152089616545,0.5163161903226062,0.8130613146613938,5
shuffle6,11167,0.6364287633204979,0.4876869347183666,0.6359756131244233,0.5847166787696635,0.5446679645252,0.5061205841423198,0.817284233438901,6
shuffle7,11167,0.6425181337870511,0.4888510790722665,0.6395364097837063,0.5887414341051552,0.5604795546992078,0.5195402493014617,0.8146621350254483,7
